 ! Swift/XRT detailed lightcurve of trigger: 10724, name: AT2018cow
 ! Swift/XRT lightcurve of trigger: 10724, name: AT2018cow
 ! T0 for this burst is Swift MET=551097137.0 s, = 2018 Jun 19 at 10:31:55.845 UT
 ! Data covers 0.3-10 keV
 ! For details of light-curve production, see Evans et al. 2007, A&A, 469, 379
 ! BINMODE: TIME
!Time    	T_+ve   	T_-ve   	Rate    	Ratepos 	Rateneg 	BGrate  	BGerr   	FracExp
! PC data
699911.718	50.000	-50.000	2.414923e-01	7.151204e-02	-5.975568e-02	1.461671e-03	7.308355e-04	0.777661
700011.718	50.000	-50.000	2.278206e-01	5.411506e-02	-5.411506e-02	1.369224e-03	6.123355e-04	1.000000
700111.718	50.000	-50.000	2.147730e-01	5.243255e-02	-5.243255e-02	1.095379e-03	5.476895e-04	1.000000
700211.718	50.000	-50.000	2.018954e-01	5.082655e-02	-5.082655e-02	1.095379e-03	5.476895e-04	1.000000
700311.718	50.000	-50.000	2.264644e-01	5.354331e-02	-5.354331e-02	5.476895e-04	3.872750e-04	1.000000
700411.718	50.000	-50.000	2.255723e-01	5.383194e-02	-5.383194e-02	2.190758e-03	7.745500e-04	1.000000
700511.718	50.000	-50.000	1.899303e-01	4.931354e-02	-4.931354e-02	8.215343e-04	4.743131e-04	1.000000
700611.718	50.000	-50.000	2.642940e-01	5.798022e-02	-5.798022e-02	1.095379e-03	5.476895e-04	1.000000
700711.718	50.000	-50.000	2.255563e-01	5.366059e-02	-5.366059e-02	1.643069e-03	6.707799e-04	1.000000
700811.718	50.000	-50.000	2.239930e-01	5.337173e-02	-5.337173e-02	1.916913e-03	7.245252e-04	1.000000
700911.718	50.000	-50.000	1.923256e-01	9.226301e-02	-7.003409e-02	2.105568e-03	1.215650e-03	0.390172
711311.718	50.000	-50.000	1.113378e-01	6.794405e-02	-4.833774e-02	1.256613e-03	8.885596e-04	0.468918
711411.718	50.000	-50.000	2.785991e-01	6.096890e-02	-6.096890e-02	5.892486e-04	4.166617e-04	1.000000
711511.718	50.000	-50.000	2.322002e-01	6.832545e-02	-5.712347e-02	3.785854e-04	3.785854e-04	0.778224
711611.718	50.000	-50.000	2.055030e-01	4.858804e-02	-4.858804e-02	5.501014e-04	3.889804e-04	1.000000
711711.718	50.000	-50.000	1.814386e-01	4.567804e-02	-4.567804e-02	1.100203e-03	5.501014e-04	1.000000
711811.718	50.000	-50.000	1.458566e-01	4.529335e-02	-3.759450e-02	1.925355e-03	7.277157e-04	1.000000
711911.718	50.000	-50.000	1.701036e-01	4.416683e-02	-4.416683e-02	8.251521e-04	4.764018e-04	1.000000
712011.718	50.000	-50.000	2.148826e-01	4.951544e-02	-4.951544e-02	8.251521e-04	4.764018e-04	1.000000
712111.718	50.000	-50.000	2.280917e-01	5.107405e-02	-5.107405e-02	2.750507e-04	2.750507e-04	1.000000
712211.718	50.000	-50.000	1.365325e-01	4.376976e-02	-3.603764e-02	2.750507e-04	2.750507e-04	1.000000
712311.718	50.000	-50.000	2.252293e-01	5.078758e-02	-5.078758e-02	1.650304e-03	6.737339e-04	1.000000
712411.718	50.000	-50.000	2.044031e-01	4.847863e-02	-4.847863e-02	1.100203e-03	5.501014e-04	1.000000
712511.718	50.000	-50.000	8.594214e-02	4.143900e-02	-3.142944e-02	1.396377e-03	6.981887e-04	0.787898
785611.718	50.000	-50.000	1.401056e-01	6.820360e-02	-5.172907e-02	3.399886e-03	1.520475e-03	0.486968
785711.718	50.000	-50.000	1.902342e-01	5.864364e-02	-4.867555e-02	1.254656e-03	7.243761e-04	0.791755
785811.718	50.000	-50.000	3.397426e-01	6.222152e-02	-6.222152e-02	9.280442e-04	5.358066e-04	0.989089
785911.718	50.000	-50.000	2.345877e-01	5.141941e-02	-5.141941e-02	9.179187e-04	5.299606e-04	1.000000
786011.718	50.000	-50.000	1.892271e-01	4.614728e-02	-4.614728e-02	9.179187e-04	5.299606e-04	1.000000
786111.718	50.000	-50.000	2.669405e-01	5.484391e-02	-5.484391e-02	1.529865e-03	6.841762e-04	1.000000
786211.718	50.000	-50.000	2.442975e-01	5.252939e-02	-5.252939e-02	1.835837e-03	7.494775e-04	1.000000
786311.718	50.000	-50.000	2.575129e-01	5.391360e-02	-5.391360e-02	9.179187e-04	5.299606e-04	1.000000
786411.718	50.000	-50.000	1.451198e-01	4.460480e-02	-3.702299e-02	6.119458e-04	4.327110e-04	1.000000
786511.718	50.000	-50.000	1.771995e-01	4.491012e-02	-4.491012e-02	2.141810e-03	8.095282e-04	1.000000
786611.718	50.000	-50.000	2.784387e-01	5.596589e-02	-5.596589e-02	1.223892e-03	6.119458e-04	1.000000
786711.718	50.000	-50.000	2.906149e-01	5.713078e-02	-5.713078e-02	6.119458e-04	4.327110e-04	1.000000
786811.718	50.000	-50.000	2.777721e-01	5.597167e-02	-5.597167e-02	1.835837e-03	7.494775e-04	1.000000
786911.718	50.000	-50.000	2.530119e-01	5.973857e-02	-5.973857e-02	3.847649e-04	3.847649e-04	0.795220
808511.718	50.000	-50.000	3.058197e-01	7.247990e-02	-7.247990e-02	1.442462e-03	8.328055e-04	0.673522
808611.718	50.000	-50.000	1.467173e-01	4.545061e-02	-3.772503e-02	1.619215e-03	7.241349e-04	1.000000
808711.718	50.000	-50.000	1.527528e-01	5.811210e-02	-4.643465e-02	1.488553e-03	7.442765e-04	0.793311
808811.718	50.000	-50.000	2.835704e-01	6.241429e-02	-6.241429e-02	1.771328e-03	7.231417e-04	1.000000
808911.718	50.000	-50.000	2.308732e-01	5.639244e-02	-5.639244e-02	1.180886e-03	5.904428e-04	1.000000
809011.718	50.000	-50.000	2.183820e-01	5.459549e-02	-5.459549e-02	0.000000e+00	0.000000e+00	1.000000
809111.718	50.000	-50.000	1.478108e-01	5.042201e-02	-4.116250e-02	1.771328e-03	7.231417e-04	1.000000
809211.718	50.000	-50.000	3.282563e-01	6.708879e-02	-6.708879e-02	2.952214e-04	2.952214e-04	1.000000
809311.718	50.000	-50.000	1.613662e-01	5.210924e-02	-4.292867e-02	1.180886e-03	5.904428e-04	1.000000
809411.718	50.000	-50.000	3.236202e-01	6.689355e-02	-6.689355e-02	2.952214e-03	9.335720e-04	1.000000
809511.718	50.000	-50.000	3.385774e-01	6.804160e-02	-6.804160e-02	1.180886e-03	5.904428e-04	1.000000
809611.718	50.000	-50.000	2.838373e-01	6.211559e-02	-6.211559e-02	5.904428e-04	4.175061e-04	1.000000
809711.718	50.000	-50.000	1.670207e-01	6.017371e-02	-4.864566e-02	2.231273e-03	9.109133e-04	0.793864
842711.718	50.000	-50.000	3.252395e-01	7.680069e-02	-7.680069e-02	5.085838e-04	5.085838e-04	0.639429
842811.718	50.000	-50.000	1.368918e-01	4.414306e-02	-3.634499e-02	9.851500e-04	5.687766e-04	0.990316
